quality	left_url	right_url
left	https://slovodel.com/561652-avstraliiskie-uchenye-zayavili-o-vysokom-urovne-adaptivnosti-covid-19-k-organizmu-cheloveka	https://ria.ru/20200527/1572040489.html
right	https://vchaspik.ua/politika/478160-pravitelstvo-ukrainy-sozdalo-novoe-ministerstvo-podrobnosti	https://zn.ua/POLITICS/pravitelstvo-razdelilo-ministerstvo-energetiki-i-zaschity-okruzhayuschey-sredy-355599_.html
right	https://www.dsnews.ua/politics/kabmin-naznachil-gubernatora-kievshchiny-27052020134300	https://from-ua.com/news/550348-kabmin-soglasoval-naznachenie-predsedatelya-kievskoi-oga.html
right	https://www.zakon.kz/5024623-sammity-shos-i-briks-perenesli-na.html	https://forpost-sz.ru/a/2020-05-27/sammity-briks-i-shos-perenesut-s-iyulya-na-bolee-pozdnij-srok
left	https://telegraf.com.ua/biznes/ekonomika/5483863-pravitelstvo-utverdilo-programmu-vosstanovleniya-ukrainskoy-ekonomiki.html	https://glavnoe.ua/news/n357027834-kabmin-prezentoval-programmu-stimulirovanija-ekonomiki
right	https://tass.ru/ekonomika/8580127?utm_source=yxnews&utm_medium=desktop&utm_referrer=https%3A%2F%2Fyandex.ru%2Fnews	https://www.rosbalt.ru/russia/2020/05/27/1845783.html
right	https://ria.ru/20200527/1572034193.html	https://actualnews.org/exclusive/347853-v-lna-schitajut-strannym-zajavlenie-ssha-o-prisutstvii-samoletov-vks-rf-v-livii.html
left	https://bankir.ru/novosti/20200527/mintrud-gotov-podderzat-strahovanie-ot-bezraboticy-10177707/	https://pravo.ru/news/222177/
right	http://uaprom.info/news/174706-kabmin-razdelil-minenergo-dva-vedomstva.html	https://www.5.ua/ru/polytyka/kabmyn-razdelyl-mynysterstvo-enerhetyky-y-zashchyti-okruzhaiushchei-sredi-na-dva-otdelnikh-orhana-215930.html
left	https://inforeactor.ru/304677-koronavirus-podtverdilsya-u-vtorogo-futbolista-kazanskogo-rubina	https://www.pravda.ru/news/sport/1501725-poyarkov_koronavirus/
draw	https://www.business-gazeta.ru/news/469918	https://moika78.ru/news/2020-05-28/421830-rospotrebnadzor-zayavil-o-gotovnosti-moskvy-k-snyatiyu-ogranichenij/
left	https://politexpert.net/198289-modernizirovannyi-tu-22m3m-proshel-ispytaniya-na-giperzvukovyh-skorostyah	https://riafan.ru/1279929-v-opk-rasskazali-ob-ispytaniyakh-modernizirovannogo-raketonosca-tu-22m3m
left	https://www.rosbalt.ru/world/2020/05/27/1845657.html	https://ria.ru/20200527/1572040489.html
left	https://www.rosbalt.ru/piter/2020/05/27/1845659.html	https://info24.ru/news/smi-eks-glava-chuvashii-lezhit-v-bolnice-s-tyazhelym-porazheniem-legkih.html
left	https://tass.ru/obschestvo/8573845	https://www.kasparov.ru/material.php?id=5ECE4DA879BAE
left	https://www.rosbalt.ru/russia/2020/05/27/1845783.html	https://www.mk.ru/economics/2020/05/27/putin-podderzhal-predlozhenie-utroit-minimalnyy-razmer-posobiya-po-bezrabotice.html
left	https://tsargrad.tv/news/jepidemija-prevratila-nas-v-darmoedov-efremov-pozavidoval-futbolistam_256492	https://utro.ru/showbiz/2020/05/27/1446564.shtml
left	https://www.newsru.com/hitech/27may2020/gd_apps.html?utm_source=rss	https://roskomsvoboda.org/59117/
left	https://akket.com/raznoe/212514-sony-playstation-5-neozhidanno-poyavilas-na-ofitsialnom-sajte.html	https://akket.com/raznoe/212569-obyavlena-tochnaya-data-vyhoda-sony-playstation-5.html
left	https://politros.com/167457-odin-tureckii-voennosluzhashchii-skonchalsya-ot-ranenii-iz-za-vzryva-v-siriiskoi-provincii-idlib	https://real-vin.com/v-sirii-vzorvali-opornyj-punkt-tureckih-vojsk-video
right	https://dvizhok.su/auto/bmw-obnovila-pyaterku	https://anonsens.ru/37842_podrobnosti_o_novom_bmw_5_series_muradov15
left	https://www.kam24.ru/news/main/20200527/74645.html	https://zamana.info/rubriki/news/obshestvo/94-obshestvo/11664-putin-prikazal-provesti-parad-pobedy-24-iyunya
right	https://ria-m.tv/news/194481/v_moz_nazvali_usloviya_vozobnovleniya_aviapereletov.html	https://lenta.ru/news/2020/05/27/ukraine_avia/
right	https://strana.ua/news/269642-kohda-zarabotajut-trts-i-hostinitsy-v-kieve-kommentarij-klichko.html	https://ukranews.com/news/704874-kiev-otkroet-trts-v-subbotu-30-maya
bad	https://iz.ru/1016180/2020-05-27/bmw-predstavila-v-rossii-obnovlennyi-sedan-piatoi-serii	https://rueconomics.ru/444307-bmw-predstavila-obnovlennyi-liftbek-6-i-serii-gt
right	https://realnoevremya.ru/news/175901-tu-22mzm-kazanskogo-aviazavoda-ispytali-na-sverhzvuke	https://tass.ru/armiya-i-opk/8572297
right	https://ura.news/news/1052433701	https://www.kasparov.ru/material.php?id=5ECE4DA879BAE
left	https://www.business-gazeta.ru/news/469907	https://tsargrad.tv/news/pered-koronavirusom-za-sutki-pali-vse-regiony-rossii-poslednie-dannye-o-covid-19_256325
