quality	left_url	right_url
left	https://theins.ru/news/222454	https://www.znak.com/2020-05-29/v_rossii_mogut_sozdat_specialnoe_prilozhenie_dlya_trudovyh_migrantov
right	https://utro.ru/politics/2020/05/29/1446790.shtml	https://lenta.ru/news/2020/05/29/melnik/
right	https://strana.ua/news/270032-v-nasa-soobshchili-kohda-ekipazh-crew-dragon-popadet-na-mks.html	https://fakty.com.ua/ru/svit/20200529-zapusk-spacex-mozhe-ne-vidbutysya-u-travni-cherez-pogodu/
left	http://allsport-news.net/367146_liga_chempionov_mojet_byit_doigrana_v_formate_finala_chetyireh_v_germanii_a_ne_v_turtsii_sky_sport_italia.html	https://russian.rt.com/sport/news/750599-smi-lch-final-chetyryoh-germaniya
left	https://news.mail.ru/politics/41985201/	http://www.garant.ru/news/1377060/
right	https://www.vesti.ru/doc.html?id=3269413	https://www.vedomosti.ru/economics/news/2020/05/29/831499-mishustin-podpisal-postanovlenie-o-vozvrate-naloga-samozanyatim
left	https://www.mvestnik.ru/newslent/v-murmanskoj-oblasti-vyyavleno-60-novyh-sluchaev-zabolevaniya-covid-19/	https://severpost.ru/read/96286/
left	https://ria.ru/20200529/1572153231.html	https://vestikavkaza.ru/news/brent-i-wti-nemnogo-deseveut.html
left	https://kianews24.ru/news/s-1-iyunya-v-krimu-budet-razreshena-podgoto/	https://russian.rt.com/russia/news/750750-krym-smyagchenie-ogranichenii
right	https://fakty.com.ua/ru/sport/20200529-final-ligy-chempioniv-perenesut-zi-stambula-the-independent/	http://allsport-news.net/367146_liga_chempionov_mojet_byit_doigrana_v_formate_finala_chetyireh_v_germanii_a_ne_v_turtsii_sky_sport_italia.html
left	https://medialeaks.ru/news/2905mmg-cybetruck-tunnel/?utm_source=tlgrm	https://www.zr.ru/content/news/923424-ilon-mask-ustroil-pokazatelny/
left	https://news.tut.by/economics/686616.html	https://apostrophe.ua/news/world/ex-ussr/2020-05-29/snachala-dengi-kreml-vyistavil-belarusi-millionnyiy-schet/198725
left	https://argumentiru.com/2020/05/sm-512957	https://slovodel.com/561888-tramp-gotov-obsudit-s-yuristami-pravomernost-zakrytiya-twitter
right	https://ria.ru/20200529/1572179810.html?utm_source=yxnews&utm_medium=desktop&utm_referrer=https%3A%2F%2Fyandex.ru%2Fnews	https://tass.ru/ekonomika/8599229
left	https://interfax.com.ua/news/general/665736.html	https://news.ru/usa/v-ssha-byvshego-policejskogo-obvinili-v-ubijstve-posle-smerti-afroamerikanca/
right	https://news.rambler.ru/moscow_city/44255646-utochnen-poryadok-nosheniya-masok-i-perchatok-v-moskve/	https://www.pnp.ru/social/v-moskve-ne-budut-vvodit-novye-shtrafy-za-otsutstvie-masok-ili-perchatok-na-ulicakh.html
right	https://kubnews.ru/obshchestvo/2020/05/29/shkolnye-vypusknye-v-rossii-proydut-onlayn-27-iyunya-/	https://tass.ru/obschestvo/8600171
right	https://news.rambler.ru/community/44261564-v-rossii-vyyavleno-8-572-novyh-sluchaya-koronavirusa/	https://www.business-gazeta.ru/news/470197
left	https://russian.rt.com/russia/news/750727-minyust-shtraf-podrostki	https://ria.ru/20200529/1572196872.html
right	https://politexpert.net/198541-twitter-udalil-post-trampa-ob-ispolzovanii-armii-v-minneapolise	https://inforeactor.ru/305033-twitter-zablokiroval-post-trampa-za-geroizaciyu-nasiliya-v-minneapolise
right	https://fakty.com.ua/ru/lifestyle/20200529-pogoda-v-ukrayini-na-29-travnya-karta-2/	https://joinfo.ua/weather/1272090_Gismeteo-Ukraina-pogoda-29-maya-2020--silniy.html
right	https://ria.ru/20200529/1572200088.html	https://rns.online/society/Golikova-rasskazala-o-delenii-svyazannih-s-koronavirusom-smertei-na-gruppi--2020-05-29/
bad	https://smoldaily.ru/mchs-obyavilo-shtormovoe-preduprezhdenie-na-smolenshhine	https://www.riatomsk.ru/article/20200529/mchs-preduprezhdaet-tomichej-o-porivistom-vetre-na-vihodnih/
right	https://stavropolye.tv/news/134474	https://newstracker.ru/news/society/29-05-2020/shtormovoe-preduprezhdenie-ob-yavili-na-stavropolie-iz-za-livnya-grada-i-uragana
